partId,bomId
20020282,-7a25748e:1828bdeb760:5c97
20020283,-43d815b2:182ca31d95b:4882
20020283,-43d815b2:182ca31d95b:4cdb
20020283,4843cdee:1840acc7dbd:-2ad8
20020283,4843cdee:1840acc7dbd:-393c
20020284,-43d815b2:182ca31d95b:4883
20020284,-43d815b2:182ca31d95b:4cdc
20020284,-43d815b2:182ca31d95b:5135
20020284,-7a25748e:1828bdeb760:421d
20020284,-7a25748e:1828bdeb760:4f5b
20020284,-7a25748e:1828bdeb760:5c99
20020284,4843cdee:1840acc7dbd:-2ad7
20020284,4843cdee:1840acc7dbd:-393b
20020285,-43d815b2:182ca31d95b:4884
20020285,-43d815b2:182ca31d95b:4cdd
20020286,-43d815b2:182ca31d95b:487b
20020286,-43d815b2:182ca31d95b:4cd4
20020286,-43d815b2:182ca31d95b:513c
20020286,-7a25748e:1828bdeb760:425e
20020286,-7a25748e:1828bdeb760:4f9c
20020286,-7a25748e:1828bdeb760:5cda
20020286,4843cdee:1840acc7dbd:-2adf
20020286,4843cdee:1840acc7dbd:-3943
20020287,-43d815b2:182ca31d95b:487c
20020287,-43d815b2:182ca31d95b:4cd5
20020287,4843cdee:1840acc7dbd:-2ade
20020287,4843cdee:1840acc7dbd:-3942
20020288,-43d815b2:182ca31d95b:4838
20020288,-43d815b2:182ca31d95b:4c91
20020288,4843cdee:1840acc7dbd:-2b22
20020288,4843cdee:1840acc7dbd:-3986
20020293,-182da9f8:18514ddc190:-4393
20020293,-43d815b2:182ca328636:-59de
20020293,5a0534e6:18382c3d3fe:6eab
20020293,5a0534e6:18382c3d3fe:7426
20020294,-182da9f8:18514ddc190:-4392
20020294,-43d815b2:182ca328636:-59dd
20020294,5a0534e6:18382c3d3fe:6eac
20020294,5a0534e6:18382c3d3fe:7427
20020297,-27ef30eb:1847f973bf5:5e9f
20020297,-336aa3e0:184513a58c5:-666f
20020297,-336aa3e0:184513a58c5:-6a6d
20020297,-336aa3e0:184513a58c5:-6f09
20020297,-35d5fef9:188e059df3b:-44bc
20020297,-43d815b2:182ca31d95b:54ce
20020297,-43d815b2:182ca31d95b:58cf
20020297,-43d815b2:182ca31d95b:5d4c
20020297,-43d815b2:182ca31d95b:6235
20020297,-43d815b2:182ca31d95b:671e
20020297,-43d815b2:182ca31d95b:7109
20020297,5a0534e6:18382c3d3fe:-4337
20020299,-336aa3e0:184513a58c5:-666e
20020299,-336aa3e0:184513a58c5:-6a6c
20020299,-336aa3e0:184513a58c5:-6f08
20020299,-35d5fef9:188e059df3b:-44bb
20020299,-43d815b2:182ca31d95b:54cf
20020299,-43d815b2:182ca31d95b:58d0
20020299,-43d815b2:182ca31d95b:5d4d
20020299,5a0534e6:18382c3d3fe:-4336
20020300,-336aa3e0:184513a58c5:-666d
20020300,-336aa3e0:184513a58c5:-6a6b
20020300,-336aa3e0:184513a58c5:-6f07
20020300,-35d5fef9:188e059df3b:-44ba
20020300,-43d815b2:182ca31d95b:54d0
20020300,-43d815b2:182ca31d95b:58d1
20020300,-43d815b2:182ca31d95b:5d4e
20020300,5a0534e6:18382c3d3fe:-4335
20020301,-336aa3e0:184513a58c5:-666c
20020301,-336aa3e0:184513a58c5:-6a6a
20020301,-336aa3e0:184513a58c5:-6f06
20020301,-35d5fef9:188e059df3b:-44b9
20020301,-43d815b2:182ca31d95b:54d1
20020301,-43d815b2:182ca31d95b:58d2
20020301,-43d815b2:182ca31d95b:5d4f
20020301,5a0534e6:18382c3d3fe:-4334
20020317,-336aa3e0:184513a58c5:-666b
20020317,-336aa3e0:184513a58c5:-6a69
20020317,-336aa3e0:184513a58c5:-6f05
20020317,-35d5fef9:188e059df3b:-44be
20020317,5a0534e6:18382c3d3fe:-4333
20020318,-336aa3e0:184513a58c5:-666a
20020318,-336aa3e0:184513a58c5:-6a68
20020318,-336aa3e0:184513a58c5:-6f04
20020318,-35d5fef9:188e059df3b:-44bd
20020318,5a0534e6:18382c3d3fe:-4332
20020319,-336aa3e0:184513a58c5:-6669
20020319,-336aa3e0:184513a58c5:-6a67
20020319,-336aa3e0:184513a58c5:-6f03
20020319,-35d5fef9:188e059df3b:-44b8
20020319,-43d815b2:182ca31d95b:54d2
20020319,-43d815b2:182ca31d95b:58d3
20020319,-43d815b2:182ca31d95b:5d50
20020319,5a0534e6:18382c3d3fe:-4331
20020320,-336aa3e0:184513a58c5:-6668
20020320,-336aa3e0:184513a58c5:-6a66
20020320,-336aa3e0:184513a58c5:-6f02
20020320,-35d5fef9:188e059df3b:-44b7
20020320,-43d815b2:182ca31d95b:54d3
20020320,-43d815b2:182ca31d95b:58d4
20020320,-43d815b2:182ca31d95b:5d51
20020320,5a0534e6:18382c3d3fe:-4330
20020322,-336aa3e0:184513a58c5:-6666
20020322,-336aa3e0:184513a58c5:-6a64
20020322,-336aa3e0:184513a58c5:-6f00
20020322,-35d5fef9:188e059df3b:-44b5
20020322,-43d815b2:182ca31d95b:54d5
20020322,-43d815b2:182ca31d95b:58d6
20020322,-43d815b2:182ca31d95b:5d53
20020322,5a0534e6:18382c3d3fe:-432e
20020323,-336aa3e0:184513a58c5:-6665
20020323,-336aa3e0:184513a58c5:-6a63
20020323,-336aa3e0:184513a58c5:-6eff
20020323,-35d5fef9:188e059df3b:-44b4
20020323,-43d815b2:182ca31d95b:54d6
20020323,-43d815b2:182ca31d95b:58d7
20020323,-43d815b2:182ca31d95b:5d54
20020323,5a0534e6:18382c3d3fe:-432d
20020324,-336aa3e0:184513a58c5:-6664
